# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	4629
#@/user_id	8153c35b-79e8-4496-b5ef-103168ff7e21
a 	啊	c=5 d=0.503807 t=4629
bo xue 	剝削	c=1 d=1 t=858
bo zi 	脖子	c=1 d=1 t=2538
bu 	不	c=4 d=1.00001 t=4470
bu 	部	c=2 d=1.956 t=1759
bu an quan 	不安全	c=1 d=1 t=598
bu ba 	不把	c=0 d=0.1 t=769
bu ba zi ji dang ren 	不把自己當人	c=1 d=1 t=770
bu cheng shu 	不成熟	c=1 d=1 t=1253
bu chong 	補充	c=1 d=1 t=3869
bu cun zai 	不存在	c=1 d=1 t=3786
bu cuo 	不錯	c=1 d=1 t=3891
bu dao 	佈道	c=0 d=0.1 t=2428
bu dao zhi dao 	佈道之道	c=1 d=1 t=2429
bu ding 	補丁	c=1 d=1 t=3266
bu du 	不讀	c=7 d=6.04826 t=4517
bu duan 	不斷	c=0 d=0.1 t=1502
bu duan de 	不斷地	c=1 d=1 t=1496
bu duan zuo 	不斷做	c=1 d=1 t=1503
bu fen 	不分	c=3 d=2.59254 t=4491
bu gu 	不顧	c=0 d=0.1 t=976
bu gu shi ji 	不顧實際	c=1 d=1 t=977
bu gui lv 	不規律	c=1 d=1 t=965
bu guo shi 	不過是	c=1 d=1 t=1558
bu hao 	不好	c=2 d=2.00475 t=2719
bu huan 	不換	c=0 d=0.1 t=3462
bu huan hang 	不換行	c=2 d=1.99501 t=3464
bu hui 	不會	c=5 d=1.58798 t=1203
bu hui bei 	不會被	c=0 d=0.1 t=1223
bu hui bei ti dai 	不會被替代	c=1 d=1 t=1224
bu jia ban 	不加班	c=2 d=1.44486 t=1014
bu jin ze tui 	不進則退	c=1 d=1 t=730
bu jiu 	不久	c=0 d=0.1 t=1014
bu ju 	佈局	c=1 d=1 t=4264
bu li yu 	不利於	c=1 d=1 t=2915
bu liang 	不良	c=1 d=1 t=2972
bu liao 	不了	c=1 d=1 t=3662
bu neng 	不能	c=8 d=1.16796 t=4228
bu neng fang wen 	不能訪問	c=1 d=1 t=615
bu neng tong guo 	不能通過	c=1 d=1 t=3370
bu pi pei 	不匹配	c=1 d=1 t=255
bu piao 	補票	c=0 d=0.1 t=1177
bu piao liang de 	補票量地	c=1 d=1 t=1178
bu quan 	補全	c=1 d=1 t=4398
bu que 	不缺	c=1 d=1 t=1144
bu rang 	不讓	c=2 d=1.9802 t=2189
bu shi 	不是	c=8 d=1.00315 t=3548
bu shi bie 	不识别	c=2 d=1.00345 t=1537
bu shi hao ren 	不是好人	c=1 d=1 t=1292
bu shi he 	不適合	c=1 d=1 t=2451
bu shi ma 	不是嗎	c=1 d=1 t=1352
bu shu 	布署	c=1 d=1 t=248
bu tai 	不太	c=3 d=2.96562 t=2267
bu tai xiang wo 	不太像我	c=1 d=1 t=2250
bu tong 	不同	c=0 d=0.1 t=1324
bu wen ding 	不穩定	c=0 d=0.1 t=671
bu xian 	不限	c=1 d=1 t=2083
bu xiang xin 	不相信	c=1 d=1 t=1894
bu xiang yao 	不想要	c=1 d=1 t=1485
bu xing 	不行	c=1 d=1 t=804
bu yao 	不要	c=1 d=1.01818 t=1533
bu yao qi wang xuan 	不要期望選	c=1 d=1 t=1193
bu yong 	不用	c=2 d=1.01188 t=4072
bu yong ti huan 	不用替換	c=1 d=1 t=3646
bu zai 	不再	c=1 d=1 t=2900
bu zheng que 	不正確	c=1 d=1 t=597
bu zhi 	不值	c=1 d=1 t=2853
bu zhi chi 	不支持	c=1 d=1 t=4059
bu zhou 	步驟	c=11 d=1.17598 t=4298
bu zhuo 	捕捉	c=1 d=1 t=1398
bu zu 	不足	c=1 d=1 t=750
cai 	才	c=1 d=1 t=2725
cai ji xiang 	采集箱	c=1 d=1 t=3503
cai shi 	纔是	c=3 d=1.81263 t=1552
cai yang lv 	採樣率	c=1 d=1 t=3974
can 	慘	c=1 d=1 t=691
can geng leng zhi 	殘羹冷炙	c=1 d=1 t=2904
can jia 	參加	c=1 d=1 t=1018
can kao 	參考	c=2 d=1.00119 t=3412
can ku 	殘酷	c=1 d=1 t=901
can shu 	參數	c=6 d=1.13167 t=4119
cao yao 	草藥	c=1 d=1 t=1976
cao zuo 	操作	c=3 d=1.40633 t=3588
ce 	測	c=1 d=1 t=100
ce lve 	策略	c=1 d=1 t=4462
ce shi 	測試	c=4 d=2.95111 t=4141
ce shi gong ju 	测试工具	c=1 d=1 t=3386
ceng ceng 	層層	c=1 d=1 t=922
cha jian 	插件	c=1 d=1 t=3899
cha kan 	查看	c=3 d=1.23931 t=3940
cha le 	查了	c=1 d=1 t=2458
cha ru 	插入	c=6 d=5.56152 t=153
cha xun 	查詢	c=3 d=2.98506 t=4315
cha zhao 	查找	c=4 d=1.99005 t=3608
cha zuo 	插座	c=1 d=1 t=2818
chai fen 	拆分	c=2 d=1.99005 t=211
chan pin 	產品	c=1 d=1 t=778
chan sheng 	產生	c=1 d=1 t=2409
chang 	常	c=1 d=1 t=2088
chang chang 	常常	c=1 d=1 t=2557
chang chu 	長處	c=1 d=1 t=2339
chang du 	長度	c=6 d=2.11407 t=3782
chang jing 	場景	c=2 d=1.00002 t=4288
chang jiu de 	長久的	c=1 d=1 t=2138
chang qi 	長期	c=2 d=1.05698 t=2913
chang shi 	嘗試	c=2 d=1.00811 t=3470
chang tai 	常態	c=1 d=1 t=1555
chang wei 	腸胃	c=1 d=1 t=2949
chao 	超	c=2 d=1 t=3750
chao guo 	超過	c=1 d=1 t=638
chao shi 	超市	c=1 d=1 t=527
chao shi 	超時	c=2 d=1.99005 t=4123
che su 	車速	c=1 d=1 t=4055
chen rong 	陳蓉	c=0 d=0.1 t=4508
chen rong cui 	陳蓉翠	c=1 d=1 t=4509
cheng 	乘	c=1 d=1 t=3991
cheng 	成	c=1 d=1 t=301
cheng ben 	成本	c=1 d=1.00002 t=2824
cheng du 	成都	c=13 d=2.37197 t=4512
cheng wei 	成爲	c=4 d=2.16873 t=3003
cheng xu 	程序	c=1 d=0.956415 t=3211
cheng xu jie shu 	程序結束	c=1 d=1 t=3212
cheng xu yuan 	程序員	c=2 d=1.38289 t=968
chi cun 	尺寸	c=1 d=1 t=3032
chi fan 	吃飯	c=1 d=1 t=684
chi mian 	吃麪	c=1 d=1 t=1953
chi xu 	持續	c=1 d=1 t=4151
chong dong 	衝動	c=1 d=1 t=2225
chong qi 	重啓	c=7 d=3.41615 t=4148
chong tu 	衝突	c=1 d=1 t=3939
chong xin bu shu 	重新部署	c=1 d=1 t=247
chong ying 	重影	c=1 d=1 t=2481
chou chu 	抽搐	c=1 d=1 t=2535
chou xiang 	抽象	c=1 d=1 t=1074
chu 	出	c=4 d=1.43645 t=3596
chu cuo 	出錯	c=1 d=1 t=3789
chu fa 	出發	c=1 d=1 t=251
chu gui 	櫥櫃	c=1 d=1 t=2287
chu lai 	出來	c=1 d=1 t=2730
chu lai de 	出来的	c=1 d=1 t=1212
chu li 	處理	c=2 d=1.00009 t=3245
chu yu 	處於	c=1 d=1 t=2341
chu zhong 	初中	c=1 d=1 t=3883
chuan 	串	c=1 d=1.1 t=4598
chuan gan qi 	傳感器	c=1 d=1 t=580
chuan pu 	川普	c=2 d=1.77105 t=4511
chuan shu 	傳輸	c=1 d=1 t=4052
chuang 	創	c=4 d=3.41967 t=1752
chuang jian 	創建	c=6 d=3.24045 t=3300
chuang lian 	窗簾	c=1 d=1 t=2770
chuang xin de 	創新的	c=0 d=0.1 t=1249
chuang xin de si wei 	創新的思維	c=1 d=1 t=1250
chun 	純	c=1 d=1.1 t=235
chun chi 	脣齒	c=2 d=1.9802 t=4484
chun chi yin 	脣齒音	c=1 d=1 t=4478
chun se 	純色	c=2 d=1.96561 t=3043
chun shu chu 	純輸出	c=1 d=1 t=236
ci ba 	糍粑	c=1 d=1 t=660
ci hui 	詞彙	c=0 d=0.1 t=335
ci ku 	詞庫	c=6 d=2.0751 t=463
ci li 	磁力	c=1 d=1 t=1789
ci pan 	磁盤	c=1 d=1 t=4054
cong 	從	c=12 d=1.24309 t=4546
cong lai 	從來	c=1 d=1 t=2437
cong ming 	聰明	c=1 d=1 t=1132
cong ye ren yuan 	從業人員	c=2 d=1.11136 t=1125
cu jin 	促進	c=1 d=1 t=2944
cu si 	猝死	c=4 d=3.29162 t=788
cui 	翠	c=0 d=0.1 t=4508
cui can 	璀璨	c=1 d=1 t=1111
cun 	存	c=1 d=1 t=3252
cun chu 	存儲	c=2 d=1.92774 t=3287
cun fang 	存放	c=1 d=1 t=3487
cun zai 	存在	c=6 d=1.86172 t=3793
cuo wu 	錯誤	c=1 d=1 t=605
da 	大	c=4 d=1.03392 t=4436
da 	打	c=1 d=1 t=2849
da bao 	打包	c=1 d=1 t=3716
da chao 	大潮	c=1 d=1 t=701
da cheng 	達成	c=0 d=0.1 t=1592
da cheng le 	達成了	c=1 d=1 t=1593
da dao 	達到	c=2 d=1.39455 t=4183
da er wen 	達爾文	c=1 d=1 t=1960
da ka 	打卡	c=1 d=1 t=1017
da kai 	打開	c=2 d=1.956 t=4597
da po 	打破	c=1 d=1 t=1198
da si chuan 	大四川	c=4 d=3.92141 t=4522
da xiao 	大小	c=1 d=1 t=3981
da xue 	大學	c=5 d=1.98518 t=3884
da yi yuan 	大醫院	c=1 d=1 t=645
da yin 	打印	c=2 d=1 t=4153
da yin ji 	打印機	c=1 d=1 t=4612
da yu deng yu 	大于等于	c=1 d=1 t=3622
da zao 	打造	c=2 d=1.91851 t=3078
dai 	帶	c=1 d=1 t=4399
dai biao 	代表	c=1 d=1 t=2372
dai er ji 	带耳机	c=1 d=1 t=3964
dai gei 	帶給	c=1 d=1 t=1523
dai kuan 	貸款	c=1 d=1 t=920
dai lai 	帶來	c=1 d=1 t=1562
dai ma 	代碼	c=2 d=1 t=4138
dan 	但	c=1 d=1 t=862
dan bu 	但不	c=0 d=0.1 t=2011
dan bu xian yu 	但不限於	c=1 d=1 t=2012
dan chun 	單純	c=1 d=1 t=2400
dan ci 	單詞	c=1 d=1 t=124
dan shi 	但是	c=14 d=1.92748 t=3901
dan shi hen nan shuo 	但是很難說	c=1 d=1 t=1297
dan shi wo ting wen 	但是我聽問	c=1 d=1 t=1284
dan wei 	單位	c=1 d=1 t=2297
dan xin 	擔心	c=1 d=1 t=2286
dan yin hao 	單引號	c=1 d=1 t=3399
dang 	當	c=1 d=1 t=3783
dang an 	檔案	c=1 d=1 t=3415
dang kong 	當空	c=0 d=0.1 t=1989
dang qian 	當前	c=3 d=1.00002 t=3627
dang qian ban ben 	当前版本	c=1 d=1 t=4060
dang ren 	當人	c=1 d=1.09704 t=775
dang shi 	當時	c=1 d=1 t=2224
dang wo 	當我	c=2 d=1.95123 t=1573
dang zuo 	當作	c=1 d=1 t=3855
dao 	到	c=13 d=1.12748 t=4572
dao 	道	c=2 d=1.20701 t=2758
dao chu 	到處	c=1 d=1 t=332
dao chu 	導出	c=1 d=1 t=333
dao di 	到底	c=1 d=1 t=1887
dao qie 	盜竊	c=1 d=1 t=279
dao ru 	導入	c=1 d=1 t=84
dao wen jian 	到文件	c=1 d=1 t=134
dao xian zai 	到現在	c=1 d=1 t=2700
dao yu 	島嶼	c=1 d=1 t=1742
dao zhi 	導致	c=2 d=1.01228 t=3576
de 	地	c=1 d=1 t=2226
de 	得	c=2 d=1.60957 t=1630
de 	的	c=145 d=2.56621 t=4575
de bian 	地邊	c=1 d=1 t=551
de bu chang shi 	得不償失	c=1 d=1 t=2841
de dao 	得到	c=2 d=1.05872 t=3343
de gui ze 	的規則	c=1 d=1 t=1843
de ren 	的人	c=1 d=1 t=1290
de shen ti 	的身體	c=1 d=1 t=1499
de sheng huo zhong 	的生活中	c=1 d=1 t=1816
de yi fen zi 	的一分子	c=1 d=1 t=861
deng 	燈	c=1 d=1.00211 t=1679
deng 	等	c=4 d=1.99509 t=4520
deng lu 	登錄	c=2 d=1.39522 t=3661
deng xiao 	等效	c=1 d=1 t=3599
deng yu 	等於	c=2 d=1 t=2958
di 	低	c=4 d=1.74266 t=986
di 	第	c=1 d=1 t=3361
di bai 	迪拜	c=1 d=1 t=1738
di ceng 	底層	c=1 d=1 t=1033
di er ge 	第二個	c=1 d=1 t=4291
di fang 	地方	c=5 d=1.09347 t=4554
di fang fang yan 	地方方言	c=1 d=1 t=4541
di gong hao 	低功耗	c=2 d=1.67032 t=546
di li 	地理	c=1 d=1 t=1940
di qiu 	地球	c=1 d=1 t=630
di san fang 	第三方	c=1 d=1 t=3502
di san ge 	第三個	c=1 d=1 t=4294
di yi ge 	第一個	c=2 d=1.53526 t=4289
di yi ji 	第一季	c=1 d=1 t=4302
di yi wei 	第一位	c=3 d=2.91202 t=3557
di zhi 	地址	c=1 d=1 t=4617
dian 	電	c=1 d=1 t=3429
dian li 	電力	c=0 d=0.1 t=4090
dian li mao 	電力貓	c=1 d=1 t=4091
dian liu 	電流	c=1 d=1 t=2405
dian nao 	电脑	c=8 d=2.59394 t=4614
dian pu 	店鋪	c=1 d=1 t=3866
dian shi ju 	電視劇	c=1 d=1 t=359
diao 	掉	c=1 d=1 t=2727
diao huan 	調換	c=1 d=1 t=3553
diao yong 	調用	c=2 d=1.00081 t=3454
die dai 	迭代	c=0 d=0.1 t=1136
die jia 	疊加	c=1 d=1 t=3987
ding 	定	c=0 d=0.1 t=1663
ding shi 	定時	c=4 d=3.5081 t=534
ding zhi 	定製	c=1 d=1 t=1813
dong 	動	c=0 d=0.1 t=1607
dong 	東	c=1 d=0.1 t=3731
dong hua 	動畫	c=1 d=1 t=1380
dong nao zi 	動腦子	c=0 d=0.1 t=1175
dong shou 	動手	c=1 d=1 t=1099
dong tai 	動態	c=2 d=1.00009 t=3887
dong tai xing 	動態性	c=2 d=1.99005 t=2067
dong xi 	東西	c=3 d=2.80446 t=2619
dou 	都	c=4 d=1.90033 t=3835
dou ba ni 	都把你	c=1 d=1 t=1527
dou ban 	豆瓣	c=1 d=1 t=1796
dou bu hui 	都不會	c=1 d=1 t=1041
dou ke yi 	都可以	c=1 d=1 t=2876
dou neng 	都能	c=1 d=1 t=2888
dou shi 	都是	c=2 d=1.24293 t=1256
dou xu yao 	都需要	c=1 d=1 t=2783
dou you 	都有	c=1 d=1 t=1105
dou yu 	斗鱼	c=1 d=1 t=383
du 	堵	c=2 d=1.99501 t=2546
du 	都	c=1 d=1 t=421
du li 	獨立	c=2 d=1.72979 t=1760
du qu 	讀取	c=2 d=1.40454 t=3601
du yin 	讀音	c=1 d=1 t=4450
duan 	段	c=1 d=1 t=2961
duan 	短	c=1 d=1 t=677
duan 	端	c=1 d=1.12374 t=1709
duan kou 	端口	c=1 d=1 t=4131
duan zan 	短暫	c=0 d=0.1 t=1615
dui 	對	c=14 d=1.31094 t=3990
dui a 	對啊	c=1 d=0.995012 t=4629
dui de 	對的	c=1 d=1 t=3569
dui diao 	對調	c=2 d=1.83946 t=3178
dui shen ti 	对身体	c=1 d=1 t=1109
dui tou 	對頭	c=0 d=0.1 t=3011
dui tou ou 	對頭偶	c=1 d=1 t=3012
dui xiang 	對象	c=7 d=3.82584 t=2038
dui ying 	對應	c=3 d=1.0597 t=4625
duo 	多	c=4 d=1.08725 t=2201
duo 	奪	c=1 d=1 t=1624
duo ge 	多個	c=2 d=1 t=3926
duo nian 	多年	c=1 d=1 t=2365
duo shao 	多少	c=1 d=1.11274 t=474
duo shao hang 	多少行	c=1 d=1 t=129
duo shao wa 	多少瓦	c=1 d=1 t=475
duo shu 	多数	c=1 d=1 t=806
duo yi ban 	多一半	c=1 d=1 t=994
e 	額	c=1 d=1 t=1321
e du 	額度	c=2 d=1.98511 t=652
e lie 	惡劣	c=1 d=1 t=2346
e mo 	惡魔	c=0 d=0.1 t=4073
en tai 	恩臺	c=1 d=1.00276 t=4593
er 	二	c=1 d=0.206459 t=3891
er 	而	c=9 d=1.00047 t=4568
er bu shi 	而不是	c=1 d=1 t=1540
er cha shu 	二叉樹	c=0 d=0.1 t=417
er cha shu cha zhao 	二叉樹查找	c=1 d=1 t=418
er cun zai 	而存在	c=1 d=1 t=1806
er qie 	而且	c=1 d=1 t=4590
er shi 	而是	c=2 d=1.00137 t=2905
er yi xie 	而一些	c=1 d=1 t=2298
er zhi 	而至	c=1 d=1 t=2274
fa 	發	c=1 d=0.406933 t=1697
fa lv 	法律	c=1 d=1 t=1936
fa qi le 	發起了	c=1 d=1 t=496
fa tong zhi 	發通知	c=1 d=1 t=1448
fa xian 	發現	c=5 d=1.99033 t=3849
fa zhan 	發展	c=2 d=1.15335 t=1075
fa zhan dao 	發展到	c=1 d=1 t=2377
fan 	凡	c=1 d=1 t=2675
fan 	反	c=2 d=1 t=4146
fan chuan 	帆船	c=1 d=1 t=1739
fan fu 	反覆	c=1 d=1 t=4265
fan gan 	反感	c=4 d=1.02901 t=4328
fan hui 	返回	c=2 d=1.47473 t=3390
fan hui zhi 	返回值	c=2 d=1.99005 t=240
fan lan 	氾濫	c=1 d=1 t=1535
fan shi 	凡是	c=1 d=1 t=1286
fan suo 	繁瑣	c=1 d=1 t=3135
fan xin 	翻新	c=2 d=1.98511 t=2676
fan ye 	翻頁	c=1 d=1 t=392
fan yi 	翻譯	c=2 d=1.00004 t=4400
fang 	方	c=1 d=1 t=2278
fang ai 	妨礙	c=1 d=1 t=2586
fang an 	方案	c=1 d=1 t=3484
fang fa 	方法	c=4 d=1.00004 t=4297
fang hua 	防滑	c=1 d=1 t=4196
fang hua dian 	防滑墊	c=1 d=1 t=4202
fang huo qiang 	防火牆	c=1 d=1 t=4130
fang jia 	房價	c=1 d=1 t=918
fang jian 	房間	c=2 d=1.89583 t=2804
fang shi 	方式	c=1 d=1 t=3946
fang song 	放鬆	c=1 d=1 t=2574
fang wen 	訪問	c=0 d=0.1 t=614
fang xiang 	方向	c=1 d=1 t=401
fang xing 	放行	c=1 d=1 t=4129
fang yan 	方言	c=3 d=2.55523 t=4576
fang zhi 	防治	c=1 d=1.04649 t=968
fei 	費	c=1 d=1 t=1008
fei 	非	c=2 d=1.67032 t=338
fei chang 	非常	c=2 d=1.74826 t=2455
fei ji dong che 	非機動車	c=1 d=1 t=2757
fei pang 	肥胖	c=1 d=1 t=962
fei su 	飛速	c=0 d=0.1 t=1136
fei su die dai 	飛速迭代	c=1 d=1 t=1137
fen 	分	c=3 d=1.01633 t=4249
fen 	墳	c=1 d=1 t=1221
fen bie 	分別	c=3 d=1.00003 t=4306
fen dou 	奮鬥	c=1 d=1 t=856
fen ge 	分割	c=1 d=1 t=207
fen guang 	分光	c=0 d=0.1 t=3431
fen guang qi 	分光器	c=2 d=1.99501 t=3433
fen lei 	分類	c=2 d=1.9802 t=624
fen qu 	分區	c=2 d=1 t=3667
fen shu 	分數	c=1 d=1 t=561
fen xi 	分析	c=2 d=1.00008 t=3059
fen xiang 	分享	c=1 d=1 t=310
feng 	風	c=1 d=1 t=1969
feng 	馮	c=1 d=1 t=4523
feng bao 	風暴	c=0 d=0.1 t=663
feng tian 	豐田	c=2 d=1.97531 t=4204
fo xiang 	佛像	c=0 d=0.1 t=3721
fo xiang mai le 	佛像買了	c=1 d=1 t=3722
fou shi 	复势	c=0 d=0.1 t=3668
fou ze 	否則	c=3 d=1.67734 t=3647
fu dian xing 	浮点型	c=1 d=1 t=3751
fu jin 	附近	c=0 d=0.1 t=4404
fu jin tao 	附近套	c=1 d=1 t=4405
fu lan ke lin 	富蘭克林	c=1 d=1 t=1959
fu mu 	父母	c=1 d=1 t=864
fu qin de 	父親的	c=1 d=1 t=2338
fu tu kang 	富土康	c=1 d=1 t=936
fu wei 	復位	c=2 d=1.99005 t=3827
fu wu qi 	服務器	c=5 d=3.03773 t=4065
fu ze 	負責	c=7 d=5.74325 t=1777
fu zhi 	複製	c=1 d=1 t=4168
ga ma 	噶嗎	c=1 d=1 t=342
gai 	改	c=4 d=1.0097 t=4180
gai 	該	c=1 d=1 t=878
gai bian 	改變	c=1 d=1 t=2004
gai hui lai 	改回來	c=1 d=1 t=2516
gai kuo 	概括	c=1 d=1 t=2871
gai le 	改了	c=2 d=1.98511 t=3660
gai nian 	概念	c=1 d=1 t=2860
gan dong zi ji 	感动自己	c=0 d=0.1 t=934
gan huo 	幹活	c=2 d=1.53794 t=909
gan jue 	感覺	c=1 d=1 t=2544
gan liu 	幹流	c=0 d=0.1 t=1676
gan xie 	感謝	c=1 d=1 t=4528
gang men 	肛門	c=1 d=1 t=966
gang wei 	崗位	c=0 d=0.1 t=801
gao 	搞	c=2 d=1.99005 t=1038
gao 	高	c=5 d=1.00293 t=2456
gao ding 	搞定	c=0 d=0.1 t=3815
gao duan 	高端	c=0 d=0.1 t=1140
gao duan ren cai 	高端人才	c=1 d=1 t=1141
gao fu he 	高負荷	c=1 d=1 t=729
gao ji 	搞基	c=1 d=1 t=635
gao ji ren cai 	高級人才	c=1 d=1 t=992
gao qing 	高清	c=1 d=0.294952 t=632
gao qing ban 	高清版	c=1 d=1 t=633
gao zhong 	高中	c=1 d=1 t=3882
